0.242554 0.509956 0.443036 0.002273 0.023024 0.034196 0.006285 0
0.249343 0.606720 0.381150 0.047156 0.010500 0.004743 0.015826 1
0.224260 0.531716 0.450965 0.002407 0.017292 0.010704 0.036941 4
0.190552 0.603405 0.363174 0.031197 0.006408 0.025945 0.016422 3
0.188432 0.605068 0.361442 0.030571 0.006359 0.025515 0.016693 3
0.201429 0.601747 0.366893 0.031787 0.006718 0.025306 0.017425 3
0.261956 0.611455 0.379092 0.050826 0.014754 0.006031 0.015287 1
0.247241 0.607356 0.380631 0.045520 0.010703 0.004959 0.015915 1
0.230164 0.532568 0.448589 0.003321 0.016597 0.009617 0.037456 4
0.245268 0.607871 0.380191 0.045716 0.010726 0.005775 0.015901 1
0.221755 0.538797 0.431497 0.008458 0.011087 0.024493 0.004938 2
0.242099 0.509927 0.443302 0.002089 0.022968 0.034528 0.006255 0
0.231935 0.535865 0.439400 0.009519 0.012444 0.020652 0.005752 2
0.190506 0.605543 0.359447 0.030555 0.007303 0.027284 0.016922 3
0.227233 0.536605 0.438104 0.009096 0.012044 0.021111 0.005751 2
0.245332 0.609013 0.378426 0.045606 0.011491 0.006252 0.016087 1
0.197034 0.601595 0.367468 0.031796 0.006635 0.025601 0.017547 3
0.224983 0.531614 0.449761 0.002431 0.017292 0.011002 0.036715 4
0.192750 0.602738 0.366066 0.030997 0.006509 0.026586 0.016907 3
0.244581 0.606881 0.380586 0.044987 0.010158 0.004946 0.015725 1
0.222858 0.531530 0.449564 0.001378 0.015083 0.008295 0.037212 4
0.199912 0.601916 0.366927 0.032148 0.006826 0.025410 0.017483 3
0.212952 0.584597 0.372229 0.022170 0.005251 0.022754 0.012835 3
0.194031 0.602165 0.366823 0.031107 0.006621 0.026261 0.017065 3
0.242861 0.607903 0.382825 0.043747 0.010637 0.003921 0.015398 1
0.230705 0.536138 0.439067 0.009405 0.012408 0.020642 0.005818 2
0.238261 0.510000 0.437971 0.000507 0.023623 0.041232 0.007101 0
0.187688 0.605637 0.361236 0.030795 0.006360 0.025440 0.016656 3
0.242670 0.512890 0.439951 0.001797 0.022681 0.033800 0.006692 0
0.228781 0.536373 0.437840 0.009185 0.012138 0.021407 0.005450 2
0.173684 0.578947 0.394737 0.010526 0.000000 0.026316 0.010526 3
0.224417 0.530665 0.450143 0.002287 0.017425 0.010919 0.036981 4
0.227898 0.536241 0.438712 0.009130 0.012256 0.021203 0.005401 2
0.246764 0.607106 0.380532 0.045487 0.010738 0.005097 0.015769 1
0.227714 0.536497 0.437032 0.009082 0.012023 0.021838 0.005351 2
0.242108 0.509889 0.443302 0.002079 0.022999 0.034549 0.006250 0
0.226299 0.536642 0.437662 0.009148 0.012122 0.021651 0.005496 2
